loan_status,fico_range_low,fico_range_high,int_rate,dti,term,verification_status,grade,sub_grade,issue_d,annual_inc,purpose,default_flag,fico_mid,fico_bucket,int_rate_clean,int_rate_bucket,dti_bucket,term_numeric,issue_year
Fully Paid,715,719,1288.00%,21.77,60 months,Verified,C,C2,Dec-2015,65000,debt_consolidation,0,717,700-749,0.1288,10-15%,20-35%,60,2015
Fully Paid,685,689,1485.00%,33.18,60 months,Not Verified,C,C5,Dec-2015,48000,credit_card,0,687,650-699,0.1485,10-15%,20-35%,60,2015
Fully Paid,695,699,1344.00%,7.49,36 months,Source Verified,C,C3,Dec-2015,125000,debt_consolidation,0,697,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,665,669,1344.00%,12.7,36 months,Verified,C,C3,Dec-2015,79000,credit_card,0,667,650-699,0.1344,10-15%,0-20%,36,2015
Fully Paid,695,699,749.00%,13.28,36 months,Not Verified,A,A4,Dec-2015,100000,debt_consolidation,0,697,650-699,0.0749,<10%,0-20%,36,2015
Charged Off,725,729,1485.00%,15.22,36 months,Source Verified,C,C5,Dec-2015,35000,debt_consolidation,1,727,700-749,0.1485,10-15%,0-20%,36,2015
Fully Paid,835,839,532.00%,18.83,36 months,Not Verified,A,A1,Dec-2015,65000,debt_consolidation,0,837,750+,0.0532,<10%,0-20%,36,2015
Fully Paid,680,684,1797.00%,23.35,60 months,Source Verified,D,D4,Dec-2015,109000,debt_consolidation,0,682,650-699,0.1797,15-20%,20-35%,60,2015
Fully Paid,780,784,532.00%,26.59,36 months,Source Verified,A,A1,Dec-2015,88000,credit_card,0,782,750+,0.0532,<10%,20-35%,36,2015
Fully Paid,685,689,532.00%,15.34,36 months,Source Verified,A,A1,Dec-2015,44000,home_improvement,0,687,650-699,0.0532,<10%,0-20%,36,2015
Charged Off,675,679,1288.00%,18.96,36 months,Not Verified,C,C2,Dec-2015,65000,small_business,1,677,650-699,0.1288,10-15%,0-20%,36,2015
Charged Off,660,664,2424.00%,20.84,60 months,Not Verified,F,F3,Dec-2015,75000,debt_consolidation,1,662,650-699,0.2424,20%+,20-35%,60,2015
Fully Paid,690,694,1078.00%,24.04,36 months,Not Verified,B,B4,Dec-2015,98000,debt_consolidation,0,692,650-699,0.1078,10-15%,20-35%,36,2015
Charged Off,730,734,1399.00%,34.53,60 months,Not Verified,C,C4,Dec-2015,79000,debt_consolidation,1,732,700-749,0.1399,10-15%,20-35%,60,2015
Current,680,684,1288.00%,34.29,60 months,Not Verified,C,C2,Dec-2015,118000,debt_consolidation,0,682,650-699,0.1288,10-15%,20-35%,60,2015
Fully Paid,730,734,749.00%,13.06,36 months,Not Verified,A,A4,Dec-2015,59000,credit_card,0,732,700-749,0.0749,<10%,0-20%,36,2015
Fully Paid,680,684,1399.00%,14.47,60 months,Source Verified,C,C4,Dec-2015,52000,credit_card,0,682,650-699,0.1399,10-15%,0-20%,60,2015
Fully Paid,700,704,1485.00%,6.79,60 months,Not Verified,C,C5,Dec-2015,195000,other,0,702,700-749,0.1485,10-15%,0-20%,60,2015
Fully Paid,725,729,1148.00%,8.47,36 months,Verified,B,B5,Dec-2015,72500,home_improvement,0,727,700-749,0.1148,10-15%,0-20%,36,2015
Fully Paid,690,694,1485.00%,12.45,36 months,Not Verified,C,C5,Dec-2015,110000,credit_card,0,692,650-699,0.1485,10-15%,0-20%,36,2015
Fully Paid,680,684,1577.00%,22.21,36 months,Not Verified,D,D1,Dec-2015,70000,house,0,682,650-699,0.1577,15-20%,20-35%,36,2015
Charged Off,685,689,1797.00%,35.7,60 months,Not Verified,D,D4,Dec-2015,55000,credit_card,1,687,650-699,0.1797,15-20%,35-45%,60,2015
Current,680,684,1399.00%,17.74,60 months,Verified,C,C4,Dec-2015,142000,debt_consolidation,0,682,650-699,0.1399,10-15%,0-20%,60,2015
Fully Paid,725,729,980.00%,23.45,36 months,Not Verified,B,B3,Dec-2015,75000,debt_consolidation,0,727,700-749,0.098,<10%,20-35%,36,2015
Fully Paid,750,754,532.00%,7.28,36 months,Not Verified,A,A1,Dec-2015,100000,credit_card,0,752,750+,0.0532,<10%,0-20%,36,2015
Fully Paid,670,674,1344.00%,12.14,60 months,Source Verified,C,C3,Dec-2015,54649,debt_consolidation,0,672,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,680,684,1577.00%,17.35,36 months,Not Verified,D,D1,Dec-2015,55000,debt_consolidation,0,682,650-699,0.1577,15-20%,0-20%,36,2015
Fully Paid,665,669,980.00%,5.18,36 months,Source Verified,B,B3,Dec-2015,92000,credit_card,0,667,650-699,0.098,<10%,0-20%,36,2015
Current,690,694,2050.00%,21.44,60 months,Verified,E,E4,Dec-2015,43160,debt_consolidation,0,692,650-699,0.205,20%+,20-35%,60,2015
Fully Paid,670,674,1727.00%,17.6,36 months,Verified,D,D3,Dec-2015,50000,other,0,672,650-699,0.1727,15-20%,0-20%,36,2015
Fully Paid,680,684,917.00%,21.34,36 months,Not Verified,B,B2,Dec-2015,69000,credit_card,0,682,650-699,0.0917,<10%,20-35%,36,2015
Current,665,669,1727.00%,24.71,60 months,Not Verified,D,D3,Dec-2015,68046,debt_consolidation,0,667,650-699,0.1727,15-20%,20-35%,60,2015
Current,685,689,1659.00%,29.13,60 months,Not Verified,D,D2,Dec-2015,48000,credit_card,0,687,650-699,0.1659,15-20%,20-35%,60,2015
Current,800,804,1199.00%,18.01,60 months,Not Verified,C,C1,Dec-2015,60000,debt_consolidation,0,802,750+,0.1199,10-15%,0-20%,60,2015
Fully Paid,710,714,1288.00%,9.44,36 months,Not Verified,C,C2,Dec-2015,91392,house,0,712,700-749,0.1288,10-15%,0-20%,36,2015
Current,740,744,980.00%,10.24,60 months,Not Verified,B,B3,Dec-2015,77900,home_improvement,0,742,700-749,0.098,<10%,0-20%,60,2015
Fully Paid,685,689,1849.00%,31.88,60 months,Verified,D,D5,Dec-2015,75000,debt_consolidation,0,687,650-699,0.1849,15-20%,20-35%,60,2015
Fully Paid,685,689,1199.00%,6.46,60 months,Source Verified,C,C1,Dec-2015,128000,home_improvement,0,687,650-699,0.1199,10-15%,0-20%,60,2015
Fully Paid,675,679,917.00%,19.25,36 months,Not Verified,B,B2,Dec-2015,50000,debt_consolidation,0,677,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,680,684,791.00%,10.81,36 months,Not Verified,A,A5,Dec-2015,40100,credit_card,0,682,650-699,0.0791,<10%,0-20%,36,2015
Charged Off,670,674,1344.00%,9.6,60 months,Not Verified,C,C3,Dec-2015,42000,credit_card,1,672,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,700,704,1199.00%,17.76,36 months,Source Verified,C,C1,Dec-2015,47590,credit_card,0,702,700-749,0.1199,10-15%,0-20%,36,2015
Fully Paid,675,679,1849.00%,18,60 months,Verified,D,D5,Dec-2015,39000,debt_consolidation,0,677,650-699,0.1849,15-20%,0-20%,60,2015
Charged Off,730,734,1288.00%,17.36,60 months,Source Verified,C,C2,Dec-2015,106000,debt_consolidation,1,732,700-749,0.1288,10-15%,0-20%,60,2015
Fully Paid,695,699,1288.00%,12.28,36 months,Not Verified,C,C2,Dec-2015,145000,debt_consolidation,0,697,650-699,0.1288,10-15%,0-20%,36,2015
Charged Off,690,694,1485.00%,24.29,60 months,Not Verified,C,C5,Dec-2015,60000,debt_consolidation,1,692,650-699,0.1485,10-15%,20-35%,60,2015
In Grace Period,720,724,849.00%,28.92,60 months,Source Verified,B,B1,Dec-2015,62000,credit_card,0,722,700-749,0.0849,<10%,20-35%,60,2015
Current,670,674,1485.00%,28.52,60 months,Not Verified,C,C5,Dec-2015,85000,debt_consolidation,0,672,650-699,0.1485,10-15%,20-35%,60,2015
Charged Off,680,684,1399.00%,16.9,60 months,Source Verified,C,C4,Dec-2015,70000,debt_consolidation,1,682,650-699,0.1399,10-15%,0-20%,60,2015
Current,680,684,1989.00%,17.56,60 months,Verified,E,E3,Dec-2015,44000,credit_card,0,682,650-699,0.1989,15-20%,0-20%,60,2015
Fully Paid,700,704,1344.00%,26.21,36 months,Not Verified,C,C3,Dec-2015,102500,debt_consolidation,0,702,700-749,0.1344,10-15%,20-35%,36,2015
Fully Paid,665,669,1485.00%,13.09,60 months,Not Verified,C,C5,Dec-2015,75000,credit_card,0,667,650-699,0.1485,10-15%,0-20%,60,2015
Fully Paid,755,759,2313.00%,34.85,60 months,Not Verified,F,F2,Dec-2015,45000,debt_consolidation,0,757,750+,0.2313,20%+,20-35%,60,2015
Current,705,709,1199.00%,31.04,60 months,Not Verified,C,C1,Dec-2015,42500,debt_consolidation,0,707,700-749,0.1199,10-15%,20-35%,60,2015
Fully Paid,725,729,1577.00%,18.5,36 months,Not Verified,D,D1,Dec-2015,175000,home_improvement,0,727,700-749,0.1577,15-20%,0-20%,36,2015
Fully Paid,745,749,649.00%,16.11,36 months,Not Verified,A,A2,Dec-2015,45000,vacation,0,747,700-749,0.0649,<10%,0-20%,36,2015
Fully Paid,795,799,532.00%,9.54,36 months,Not Verified,A,A1,Dec-2015,150000,credit_card,0,797,750+,0.0532,<10%,0-20%,36,2015
Current,690,694,1344.00%,34.95,60 months,Not Verified,C,C3,Dec-2015,50000,debt_consolidation,0,692,650-699,0.1344,10-15%,20-35%,60,2015
Charged Off,720,724,1849.00%,34.84,60 months,Source Verified,D,D5,Dec-2015,60000,debt_consolidation,1,722,700-749,0.1849,15-20%,20-35%,60,2015
Charged Off,685,689,1989.00%,33.2,60 months,Not Verified,E,E3,Dec-2015,70000,credit_card,1,687,650-699,0.1989,15-20%,20-35%,60,2015
Fully Paid,720,724,1078.00%,29.28,60 months,Not Verified,B,B4,Dec-2015,65000,debt_consolidation,0,722,700-749,0.1078,10-15%,20-35%,60,2015
Fully Paid,695,699,1078.00%,15.78,36 months,Not Verified,B,B4,Dec-2015,41600,debt_consolidation,0,697,650-699,0.1078,10-15%,0-20%,36,2015
Fully Paid,670,674,849.00%,13.24,36 months,Not Verified,B,B1,Dec-2015,110000,credit_card,0,672,650-699,0.0849,<10%,0-20%,36,2015
Charged Off,660,664,2050.00%,20.43,60 months,Not Verified,E,E4,Dec-2015,110000,car,1,662,650-699,0.205,20%+,20-35%,60,2015
Charged Off,660,664,1727.00%,25.63,36 months,Not Verified,D,D3,Dec-2015,65000,home_improvement,1,662,650-699,0.1727,15-20%,20-35%,36,2015
Fully Paid,705,709,1148.00%,4.65,60 months,Not Verified,B,B5,Dec-2015,135000,credit_card,0,707,700-749,0.1148,10-15%,0-20%,60,2015
Fully Paid,670,674,1078.00%,10.17,36 months,Verified,B,B4,Dec-2015,40000,credit_card,0,672,650-699,0.1078,10-15%,0-20%,36,2015
Fully Paid,715,719,1659.00%,30.84,60 months,Source Verified,D,D2,Dec-2015,30000,debt_consolidation,0,717,700-749,0.1659,15-20%,20-35%,60,2015
Fully Paid,675,679,1288.00%,13.2,60 months,Source Verified,C,C2,Dec-2015,70000,debt_consolidation,0,677,650-699,0.1288,10-15%,0-20%,60,2015
Fully Paid,685,689,791.00%,13.73,36 months,Source Verified,A,A5,Dec-2015,32000,credit_card,0,687,650-699,0.0791,<10%,0-20%,36,2015
Fully Paid,800,804,917.00%,11.98,36 months,Not Verified,B,B2,Dec-2015,50000,debt_consolidation,0,802,750+,0.0917,<10%,0-20%,36,2015
Fully Paid,755,759,649.00%,15,36 months,Not Verified,A,A2,Dec-2015,85000,credit_card,0,757,750+,0.0649,<10%,0-20%,36,2015
Fully Paid,750,754,649.00%,29.15,36 months,Not Verified,A,A2,Dec-2015,55000,debt_consolidation,0,752,750+,0.0649,<10%,20-35%,36,2015
Fully Paid,775,779,532.00%,20.18,36 months,Not Verified,A,A1,Dec-2015,80000,debt_consolidation,0,777,750+,0.0532,<10%,20-35%,36,2015
Fully Paid,700,704,532.00%,15.3,36 months,Source Verified,A,A1,Dec-2015,53750,debt_consolidation,0,702,700-749,0.0532,<10%,0-20%,36,2015
Fully Paid,670,674,1078.00%,21.23,36 months,Not Verified,B,B4,Dec-2015,45000,debt_consolidation,0,672,650-699,0.1078,10-15%,20-35%,36,2015
Fully Paid,665,669,1078.00%,31.95,36 months,Not Verified,B,B4,Dec-2015,40000,credit_card,0,667,650-699,0.1078,10-15%,20-35%,36,2015
Fully Paid,715,719,749.00%,25.65,36 months,Not Verified,A,A4,Dec-2015,75000,debt_consolidation,0,717,700-749,0.0749,<10%,20-35%,36,2015
Fully Paid,675,679,1148.00%,17.44,36 months,Source Verified,B,B5,Dec-2015,85000,debt_consolidation,0,677,650-699,0.1148,10-15%,0-20%,36,2015
Charged Off,705,709,1727.00%,13.21,36 months,Verified,D,D3,Dec-2015,20000,debt_consolidation,1,707,700-749,0.1727,15-20%,0-20%,36,2015
Fully Paid,670,674,1344.00%,18.17,60 months,Source Verified,C,C3,Dec-2015,77213,credit_card,0,672,650-699,0.1344,10-15%,0-20%,60,2015
Fully Paid,710,714,980.00%,6.52,36 months,Not Verified,B,B3,Dec-2015,72000,other,0,712,700-749,0.098,<10%,0-20%,36,2015
Charged Off,700,704,1659.00%,21.07,60 months,Not Verified,D,D2,Dec-2015,38000,credit_card,1,702,700-749,0.1659,15-20%,20-35%,60,2015
Fully Paid,690,694,1078.00%,14.01,36 months,Source Verified,B,B4,Dec-2015,104000,debt_consolidation,0,692,650-699,0.1078,10-15%,0-20%,36,2015
Current,720,724,1727.00%,27.78,60 months,Source Verified,D,D3,Dec-2015,39000,debt_consolidation,0,722,700-749,0.1727,15-20%,20-35%,60,2015
Charged Off,695,699,1399.00%,23.58,36 months,Not Verified,C,C4,Dec-2015,39750,debt_consolidation,1,697,650-699,0.1399,10-15%,20-35%,36,2015
Fully Paid,675,679,849.00%,8.43,36 months,Not Verified,B,B1,Dec-2015,47000,debt_consolidation,0,677,650-699,0.0849,<10%,0-20%,36,2015
Fully Paid,785,789,980.00%,23.84,60 months,Not Verified,B,B3,Dec-2015,65000,debt_consolidation,0,787,750+,0.098,<10%,20-35%,60,2015
Fully Paid,670,674,917.00%,15.83,36 months,Verified,B,B2,Dec-2015,44500,debt_consolidation,0,672,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,660,664,1577.00%,8.51,36 months,Source Verified,D,D1,Dec-2015,70100,credit_card,0,662,650-699,0.1577,15-20%,0-20%,36,2015
Fully Paid,685,689,980.00%,15.97,36 months,Not Verified,B,B3,Dec-2015,100000,medical,0,687,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,685,689,791.00%,14.45,36 months,Not Verified,A,A5,Dec-2015,105000,car,0,687,650-699,0.0791,<10%,0-20%,36,2015
Current,700,704,1288.00%,6.39,60 months,Not Verified,C,C2,Dec-2015,90000,home_improvement,0,702,700-749,0.1288,10-15%,0-20%,60,2015
Fully Paid,680,684,980.00%,13.89,36 months,Not Verified,B,B3,Dec-2015,92000,debt_consolidation,0,682,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,705,709,917.00%,26.32,36 months,Not Verified,B,B2,Dec-2015,39400,debt_consolidation,0,707,700-749,0.0917,<10%,20-35%,36,2015
Fully Paid,710,714,1148.00%,21.75,36 months,Not Verified,B,B5,Dec-2015,33000,debt_consolidation,0,712,700-749,0.1148,10-15%,20-35%,36,2015
Fully Paid,705,709,1399.00%,31.02,36 months,Source Verified,C,C4,Dec-2015,32000,other,0,707,700-749,0.1399,10-15%,20-35%,36,2015
Fully Paid,700,704,2050.00%,35.69,60 months,Source Verified,E,E4,Dec-2015,120000,debt_consolidation,0,702,700-749,0.205,20%+,35-45%,60,2015
Charged Off,670,674,1899.00%,33.47,36 months,Verified,E,E1,Dec-2015,108000,debt_consolidation,1,672,650-699,0.1899,15-20%,20-35%,36,2015
Current,730,734,791.00%,28.58,60 months,Not Verified,A,A5,Dec-2015,60000,debt_consolidation,0,732,700-749,0.0791,<10%,20-35%,60,2015
Fully Paid,690,694,1344.00%,23.26,36 months,Source Verified,C,C3,Dec-2015,38700,debt_consolidation,0,692,650-699,0.1344,10-15%,20-35%,36,2015
Fully Paid,660,664,917.00%,10.11,36 months,Source Verified,B,B2,Dec-2015,75000,debt_consolidation,0,662,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,715,719,1288.00%,3.3,36 months,Verified,C,C2,Dec-2015,60000,debt_consolidation,0,717,700-749,0.1288,10-15%,0-20%,36,2015
Fully Paid,665,669,1989.00%,9.57,36 months,Source Verified,E,E3,Dec-2015,80000,debt_consolidation,0,667,650-699,0.1989,15-20%,0-20%,36,2015
Current,705,709,980.00%,28.48,60 months,Not Verified,B,B3,Dec-2015,48000,credit_card,0,707,700-749,0.098,<10%,20-35%,60,2015
Fully Paid,665,669,1659.00%,20.45,36 months,Not Verified,D,D2,Dec-2015,58800,debt_consolidation,0,667,650-699,0.1659,15-20%,20-35%,36,2015
Fully Paid,690,694,1344.00%,17.64,36 months,Verified,C,C3,Dec-2015,54000,debt_consolidation,0,692,650-699,0.1344,10-15%,0-20%,36,2015
Current,695,699,1399.00%,29.92,60 months,Not Verified,C,C4,Dec-2015,82193,credit_card,0,697,650-699,0.1399,10-15%,20-35%,60,2015
Charged Off,660,664,1948.00%,17.02,60 months,Source Verified,E,E2,Dec-2015,73320,debt_consolidation,1,662,650-699,0.1948,15-20%,0-20%,60,2015
Fully Paid,705,709,1399.00%,23.26,36 months,Not Verified,C,C4,Dec-2015,42000,other,0,707,700-749,0.1399,10-15%,20-35%,36,2015
Fully Paid,680,684,1399.00%,21.96,36 months,Source Verified,C,C4,Dec-2015,83000,debt_consolidation,0,682,650-699,0.1399,10-15%,20-35%,36,2015
Fully Paid,740,744,1078.00%,36.94,36 months,Not Verified,B,B4,Dec-2015,55000,debt_consolidation,0,742,700-749,0.1078,10-15%,35-45%,36,2015
Charged Off,675,679,2606.00%,31.68,60 months,Verified,F,F5,Dec-2015,68000,debt_consolidation,1,677,650-699,0.2606,20%+,20-35%,60,2015
Fully Paid,725,729,2245.00%,24.16,60 months,Verified,F,F1,Dec-2015,92000,debt_consolidation,0,727,700-749,0.2245,20%+,20-35%,60,2015
Fully Paid,710,714,849.00%,20.61,36 months,Not Verified,B,B1,Dec-2015,30407,medical,0,712,700-749,0.0849,<10%,20-35%,36,2015
Fully Paid,700,704,1577.00%,32.3,60 months,Not Verified,D,D1,Dec-2015,137000,debt_consolidation,0,702,700-749,0.1577,15-20%,20-35%,60,2015
Current,700,704,1485.00%,19.59,60 months,Not Verified,C,C5,Dec-2015,80000,debt_consolidation,0,702,700-749,0.1485,10-15%,0-20%,60,2015
Fully Paid,710,714,1344.00%,24.19,36 months,Source Verified,C,C3,Dec-2015,125000,debt_consolidation,0,712,700-749,0.1344,10-15%,20-35%,36,2015
Fully Paid,670,674,1727.00%,28.38,36 months,Verified,D,D3,Dec-2015,52000,home_improvement,0,672,650-699,0.1727,15-20%,20-35%,36,2015
Fully Paid,745,749,749.00%,13.83,36 months,Not Verified,A,A4,Dec-2015,132000,debt_consolidation,0,747,700-749,0.0749,<10%,0-20%,36,2015
Fully Paid,715,719,1288.00%,35.52,36 months,Not Verified,C,C2,Dec-2015,55000,credit_card,0,717,700-749,0.1288,10-15%,35-45%,36,2015
Fully Paid,770,774,1148.00%,38.06,36 months,Not Verified,B,B5,Dec-2015,16488,debt_consolidation,0,772,750+,0.1148,10-15%,35-45%,36,2015
Fully Paid,715,719,532.00%,14.86,36 months,Not Verified,A,A1,Dec-2015,50000,credit_card,0,717,700-749,0.0532,<10%,0-20%,36,2015
Charged Off,705,709,1199.00%,27.1,36 months,Not Verified,C,C1,Dec-2015,78000,debt_consolidation,1,707,700-749,0.1199,10-15%,20-35%,36,2015
Charged Off,695,699,1288.00%,13.39,60 months,Source Verified,C,C2,Dec-2015,110000,major_purchase,1,697,650-699,0.1288,10-15%,0-20%,60,2015
Fully Paid,710,714,749.00%,10.67,36 months,Verified,A,A4,Dec-2015,45000,debt_consolidation,0,712,700-749,0.0749,<10%,0-20%,36,2015
Charged Off,705,709,1577.00%,8.78,36 months,Not Verified,D,D1,Dec-2015,70000,debt_consolidation,1,707,700-749,0.1577,15-20%,0-20%,36,2015
Fully Paid,665,669,1399.00%,26.13,60 months,Source Verified,C,C4,Dec-2015,40000,debt_consolidation,0,667,650-699,0.1399,10-15%,20-35%,60,2015
Fully Paid,685,689,1797.00%,37.2,36 months,Source Verified,D,D4,Dec-2015,15000,debt_consolidation,0,687,650-699,0.1797,15-20%,35-45%,36,2015
Charged Off,670,674,1078.00%,35.19,36 months,Not Verified,B,B4,Dec-2015,63000,debt_consolidation,1,672,650-699,0.1078,10-15%,35-45%,36,2015
Fully Paid,755,759,532.00%,21.63,36 months,Not Verified,A,A1,Dec-2015,49000,credit_card,0,757,750+,0.0532,<10%,20-35%,36,2015
Fully Paid,695,699,1577.00%,27.95,36 months,Not Verified,D,D1,Dec-2015,28000,other,0,697,650-699,0.1577,15-20%,20-35%,36,2015
Charged Off,740,744,791.00%,29.91,36 months,Not Verified,A,A5,Dec-2015,25000,debt_consolidation,1,742,700-749,0.0791,<10%,20-35%,36,2015
Fully Paid,795,799,791.00%,17.92,36 months,Not Verified,A,A5,Dec-2015,49000,debt_consolidation,0,797,750+,0.0791,<10%,0-20%,36,2015
Fully Paid,720,724,1344.00%,15.37,60 months,Not Verified,C,C3,Dec-2015,52000,major_purchase,0,722,700-749,0.1344,10-15%,0-20%,60,2015
Fully Paid,750,754,849.00%,13.36,36 months,Source Verified,B,B1,Dec-2015,90000,debt_consolidation,0,752,750+,0.0849,<10%,0-20%,36,2015
Fully Paid,700,704,1148.00%,21.21,36 months,Not Verified,B,B5,Dec-2015,78000,debt_consolidation,0,702,700-749,0.1148,10-15%,20-35%,36,2015
Fully Paid,725,729,1849.00%,38.65,60 months,Source Verified,D,D5,Dec-2015,75000,credit_card,0,727,700-749,0.1849,15-20%,35-45%,60,2015
Charged Off,665,669,1797.00%,11.52,36 months,Not Verified,D,D4,Dec-2015,33130,debt_consolidation,1,667,650-699,0.1797,15-20%,0-20%,36,2015
Fully Paid,695,699,1078.00%,13.74,36 months,Not Verified,B,B4,Dec-2015,87500,debt_consolidation,0,697,650-699,0.1078,10-15%,0-20%,36,2015
Charged Off,740,744,791.00%,15.56,36 months,Not Verified,A,A5,Dec-2015,80000,debt_consolidation,1,742,700-749,0.0791,<10%,0-20%,36,2015
Fully Paid,690,694,917.00%,25.07,36 months,Source Verified,B,B2,Dec-2015,105000,debt_consolidation,0,692,650-699,0.0917,<10%,20-35%,36,2015
Fully Paid,765,769,532.00%,20.25,36 months,Not Verified,A,A1,Dec-2015,40000,major_purchase,0,767,750+,0.0532,<10%,20-35%,36,2015
Fully Paid,660,664,917.00%,19.85,36 months,Source Verified,B,B2,Dec-2015,48000,credit_card,0,662,650-699,0.0917,<10%,0-20%,36,2015
Fully Paid,680,684,980.00%,17.09,36 months,Not Verified,B,B3,Dec-2015,90247,credit_card,0,682,650-699,0.098,<10%,0-20%,36,2015
Fully Paid,690,694,1485.00%,11.75,60 months,Not Verified,C,C5,Dec-2015,175000,credit_card,0,692,650-699,0.1485,10-15%,0-20%,60,2015
Fully Paid,735,739,1659.00%,16.85,36 months,Source Verified,D,D2,Dec-2015,55000,debt_consolidation,0,737,700-749,0.1659,15-20%,0-20%,36,2015
Fully Paid,685,689,1199.00%,12.9,36 months,Source Verified,C,C1,Dec-2015,41501,debt_consolidation,0,687,650-699,0.1199,10-15%,0-20%,36,2015
Current,715,719,1344.00%,20.67,60 months,Not Verified,C,C3,Dec-2015,75000,debt_consolidation,0,717,700-749,0.1344,10-15%,20-35%,60,2015
Fully Paid,685,689,1148.00%,22.62,36 months,Not Verified,B,B5,Dec-2015,60000,debt_consolidation,0,687,650-699,0.1148,10-15%,20-35%,36,2015
Fully Paid,690,694,917.00%,32.7,36 months,Not Verified,B,B2,Dec-2015,59307,credit_card,0,692,650-699,0.0917,<10%,20-35%,36,2015
Charged Off,700,704,2148.00%,15.56,36 months,Not Verified,E,E5,Dec-2015,55000,debt_consolidation,1,702,700-749,0.2148,20%+,0-20%,36,2015
Fully Paid,730,734,1199.00%,15.07,60 months,Not Verified,C,C1,Dec-2015,82000,debt_consolidation,0,732,700-749,0.1199,10-15%,0-20%,60,2015
Fully Paid,685,689,849.00%,15.39,36 months,Not Verified,B,B1,Dec-2015,60000,debt_consolidation,0,687,650-699,0.0849,<10%,0-20%,36,2015
